Image1,Image2,Angle1_deg,Angle2_deg,Delta_deg
phantom_lbl_0141.png,phantom_lbl_0142.png,236.55,187.59,-48.96
phantom_lbl_0142.png,phantom_lbl_0143.png,187.59,227.43,39.84
phantom_lbl_0143.png,phantom_lbl_0144.png,227.43,220.53,-6.90
phantom_lbl_0144.png,phantom_lbl_0145.png,220.53,217.47,-3.05
phantom_lbl_0145.png,phantom_lbl_0146.png,217.47,0.62,-216.85
phantom_lbl_0146.png,phantom_lbl_0147.png,0.62,201.46,200.84
phantom_lbl_0147.png,phantom_lbl_0148.png,201.46,230.23,28.77
phantom_lbl_0148.png,phantom_lbl_0149.png,230.23,193.56,-36.67
phantom_lbl_0149.png,phantom_lbl_0150.png,193.56,190.88,-2.69
phantom_lbl_0150.png,phantom_lbl_0151.png,190.88,193.78,2.90
phantom_lbl_0151.png,phantom_lbl_0152.png,193.78,206.76,12.98
phantom_lbl_0152.png,phantom_lbl_0153.png,206.76,199.66,-7.10
phantom_lbl_0153.png,phantom_lbl_0154.png,199.66,233.10,33.44
phantom_lbl_0156.png,phantom_lbl_0157.png,227.02,7.67,-219.35
phantom_lbl_0157.png,phantom_lbl_0158.png,7.67,240.37,232.70
phantom_lbl_0158.png,phantom_lbl_0159.png,240.37,213.63,-26.74
phantom_lbl_0159.png,phantom_lbl_0160.png,213.63,216.24,2.61
phantom_lbl_0160.png,phantom_lbl_0161.png,216.24,236.94,20.70
phantom_lbl_0161.png,phantom_lbl_0162.png,236.94,230.74,-6.20
phantom_lbl_0162.png,phantom_lbl_0163.png,230.74,259.70,28.95
phantom_lbl_0163.png,phantom_lbl_0164.png,259.70,256.02,-3.68
phantom_lbl_0164.png,phantom_lbl_0165.png,256.02,317.03,61.01
phantom_lbl_0165.png,phantom_lbl_0166.png,317.03,291.96,-25.06
phantom_lbl_0166.png,phantom_lbl_0167.png,291.96,319.16,27.19
phantom_lbl_0167.png,phantom_lbl_0168.png,319.16,4.20,-314.95
phantom_lbl_0168.png,phantom_lbl_0169.png,4.20,368.00,363.80
phantom_lbl_0169.png,phantom_lbl_0170.png,368.00,437.03,69.03
phantom_lbl_0170.png,phantom_lbl_0171.png,437.03,471.75,34.72
phantom_lbl_0171.png,phantom_lbl_0172.png,471.75,440.91,-30.83
phantom_lbl_0172.png,phantom_lbl_0173.png,440.91,421.71,-19.20
phantom_lbl_0173.png,phantom_lbl_0174.png,421.71,455.68,33.96
phantom_lbl_0174.png,phantom_lbl_0175.png,455.68,420.35,-35.33
phantom_lbl_0175.png,phantom_lbl_0176.png,420.35,426.05,5.70
phantom_lbl_0176.png,phantom_lbl_0177.png,426.05,412.69,-13.36
phantom_lbl_0177.png,phantom_lbl_0178.png,412.69,382.04,-30.64
phantom_lbl_0178.png,phantom_lbl_0179.png,382.04,-46.92,-428.97
phantom_lbl_0179.png,phantom_lbl_0180.png,-46.92,374.92,421.85
phantom_lbl_0180.png,phantom_lbl_0181.png,374.92,417.48,42.55
phantom_lbl_0181.png,phantom_lbl_0182.png,417.48,360.40,-57.08
phantom_lbl_0182.png,phantom_lbl_0183.png,360.40,268.09,-92.31
phantom_lbl_0183.png,phantom_lbl_0184.png,268.09,301.28,33.19
phantom_lbl_0184.png,phantom_lbl_0185.png,301.28,275.29,-25.99
phantom_lbl_0185.png,phantom_lbl_0186.png,275.29,244.95,-30.33
phantom_lbl_0186.png,phantom_lbl_0187.png,244.95,248.71,3.76
phantom_lbl_0187.png,phantom_lbl_0188.png,248.71,215.96,-32.75
phantom_lbl_0188.png,phantom_lbl_0189.png,215.96,166.34,-49.62
phantom_lbl_0189.png,phantom_lbl_0190.png,166.34,-19.39,-185.73
phantom_lbl_0190.png,phantom_lbl_0191.png,-19.39,158.62,178.01
phantom_lbl_0191.png,phantom_lbl_0192.png,158.62,193.95,35.33
phantom_lbl_0192.png,phantom_lbl_0193.png,193.95,263.07,69.12
phantom_lbl_0193.png,phantom_lbl_0194.png,263.07,294.80,31.73
phantom_lbl_0194.png,phantom_lbl_0195.png,294.80,295.40,0.60
phantom_lbl_0195.png,phantom_lbl_0196.png,295.40,290.33,-5.07
phantom_lbl_0196.png,phantom_lbl_0197.png,290.33,301.42,11.09
phantom_lbl_0197.png,phantom_lbl_0198.png,301.42,282.43,-18.99
phantom_lbl_0198.png,phantom_lbl_0199.png,282.43,277.34,-5.10
phantom_lbl_0199.png,phantom_lbl_0200.png,277.34,309.35,32.01
phantom_lbl_0200.png,phantom_lbl_0201.png,309.35,0.43,-308.92
phantom_lbl_0201.png,phantom_lbl_0202.png,0.43,282.26,281.84
phantom_lbl_0202.png,phantom_lbl_0203.png,282.26,301.98,19.71
phantom_lbl_0203.png,phantom_lbl_0204.png,301.98,307.60,5.62
phantom_lbl_0204.png,phantom_lbl_0205.png,307.60,283.89,-23.71
phantom_lbl_0205.png,phantom_lbl_0206.png,283.89,304.40,20.52
phantom_lbl_0206.png,phantom_lbl_0207.png,304.40,299.30,-5.11
phantom_lbl_0207.png,phantom_lbl_0208.png,299.30,315.18,15.88
phantom_lbl_0208.png,phantom_lbl_0209.png,315.18,293.12,-22.05
phantom_lbl_0209.png,phantom_lbl_0210.png,293.12,270.52,-22.60
phantom_lbl_0210.png,phantom_lbl_0211.png,270.52,288.08,17.56
phantom_lbl_0211.png,phantom_lbl_0212.png,288.08,9.29,-278.78
phantom_lbl_0212.png,phantom_lbl_0213.png,9.29,299.94,290.65
phantom_lbl_0213.png,phantom_lbl_0214.png,299.94,292.57,-7.37
phantom_lbl_0214.png,phantom_lbl_0215.png,292.57,286.55,-6.02
phantom_lbl_0215.png,phantom_lbl_0216.png,286.55,299.55,13.01
phantom_lbl_0216.png,phantom_lbl_0217.png,299.55,253.05,-46.50
phantom_lbl_0217.png,phantom_lbl_0218.png,253.05,178.13,-74.92
phantom_lbl_0218.png,phantom_lbl_0219.png,178.13,163.22,-14.91
phantom_lbl_0219.png,phantom_lbl_0220.png,163.22,254.41,91.18
phantom_lbl_0220.png,phantom_lbl_0221.png,254.41,274.57,20.17
phantom_lbl_0221.png,phantom_lbl_0222.png,274.57,325.59,51.02
phantom_lbl_0222.png,phantom_lbl_0223.png,325.59,71.34,-254.25
phantom_lbl_0223.png,phantom_lbl_0224.png,71.34,-7.53,-78.87
phantom_lbl_0224.png,phantom_lbl_0225.png,-7.53,457.06,464.59
phantom_lbl_0227.png,phantom_lbl_0228.png,450.61,401.50,-49.11
phantom_lbl_0228.png,phantom_lbl_0229.png,401.50,340.31,-61.19
phantom_lbl_0229.png,phantom_lbl_0230.png,340.31,270.41,-69.90
phantom_lbl_0230.png,phantom_lbl_0231.png,270.41,318.97,48.56
phantom_lbl_0231.png,phantom_lbl_0232.png,318.97,281.44,-37.53
